smiles,AR,rationale,rationale_score
['CN(C)c1ccc(cc1)C(=O)c2ccc(cc2)N(C)C'],0.137,,
['CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2=O'],0.431,,
['CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O'],0.396,,
['Oc1c(Br)cc(cc1Br)C#N'],0.177,,
['Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1'],0.201,,
['Oc1ccc(cc1)c2ccccc2'],0.187,,
['CC(=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C)C'],0.248,,
['CC(=O)OCC(=O)C1(O)C(CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)OC(=O)C'],0.347,,
['CC(=O)OCC(=O)C12N=C(C)OC1CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC23C'],0.421,,
['CC(C)(C)C(=O)OCOC(=O)C1N2C(CC2=O)S(=O)(=O)C1(C)C'],0.107,,
['CC(C)(c1cc(Cl)c(O)c(Cl)c1)c2cc(Cl)c(O)c(Cl)c2'],0.225,,
['CC1(C)OC2CC3C4CC(F)C5=CC(=O)CCC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO'],0.454,,
['CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO'],0.485,,
['CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C'],0.466,,
['CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO'],0.491,,
['CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)C)C(=O)COC(=O)C'],0.388,,
['CC1CC2C3CCC(O)(C(=O)CO)C3(C)CC(O)C2C4(C)C=CC(=O)C=C14'],0.450,,
['CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO'],0.485,,
['CCC(=O)OC1(C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)C(=O)CCl'],0.458,,
